Archetype Name,Class,Gender,Age,Dominant Tones,Dominant Timbres,Pace,Appearance / Creature Type,Appearance Description,Recording Prompt,Voice Sample Text,Direction Note
Documentary Narrator,human,masculine,middle-aged,"serious, authoritative, epic","deep, resonant, rich",measured,Human — nature-doc voice,"A tweed collar and studious spectacles, a study lined with field notebooks blurred behind him, the gravitas of a voice built for wide aerial shots.","""Deep beneath the ice, a slow migration has continued unchanged for ten thousand years. Few have ever witnessed it. Tonight, for the first time, we bring you closer than anyone thought possible.""","Deep beneath the canopy, a world moves in rhythms older than anything we've built — patient, unseen, and utterly indifferent to us.",Let each sentence land like a camera slowly pulling back to reveal scale.
Child Adventurer,human,neutral,child,"cheerful, energetic, playful","bright, light, crisp",brisk,Human — young explorer,"A gap-toothed grin under a backwards baseball cap, wide eyes bright with discovery, cheeks flushed and breathless from running the whole way here.","""Wait wait wait, I found it! The secret door was behind the bookshelf the whole entire time! Come on, hurry, before my sister figures out where we went!""","I found it! I actually found it! Come on, come ON, we have to see what's inside before anyone else does!","Let the excitement spill over the ends of words, like you can barely get the sentence out fast enough."
Sultry Late-Night DJ,human,feminine,adult,"calm, sensual, mysterious","velvety, silky, low",slow,Human — radio-booth voice,"Headphones draped around the neck, half-lit studio glow, a slow smile you can hear even with your eyes closed.","""It's late, it's quiet, and it's just you and me for the next hour. Pour something slow, dim the lights if you've got them, and let this next one wrap around the room.""","It's late, the city's gone quiet, and this next one's for anyone still awake and thinking about somebody.","Let the words melt into each other, never clipping a single ending."
Drill Sergeant,human,masculine,middle-aged,"intense, authoritative, serious","booming, gritty, rough",fast,Human — military instructor,"Buzzcut, jaw clenched tight as a vice, campaign-hat brim low over glaring eyes, veins already rising on his neck before he's even started shouting.","""Drop and give me twenty, right now, not tomorrow! I want boots laced, packs zipped, and mouths shut in ten seconds flat! Move, move, MOVE!""","On your feet! I did not say rest, I said ON YOUR FEET — we move when I say we move, not one second sooner!","Bark each command from the diaphragm, cutting words off hard at the end."
Teen Social Media Creator,human,feminine,teen,"upbeat, quirky, energetic","bright, crisp, light",fast,Human — short-form content creator,"Ring-light selfie glow, oversized hoodie, face tilted to the exact practiced angle, mid-sentence before the camera even finishes focusing.","""Okay so this hack literally changed my life and nobody is talking about it enough. You just twist it, snap it, and boom, done, easiest thing ever. Like and follow if you actually tried it!""","Okay so this is actually insane, you guys are NOT ready for what just happened, wait for it—","Keep it breathless and immediate, like you're narrating your own reaction in real time."
Melancholic Poet,human,neutral,adult,"melancholic, somber, gentle","breathy, soft, thin",slow,Human — reflective essayist,"Rain-streaked window light, a cup of tea gone cold, a notebook of crossed-out lines, shoulders drawn slightly inward.","""The house still smells like her, faintly, in the hallway near the coats. I keep the porch light on though no one's coming home. Some habits outlive the reason for them.""","Some days the rain says everything I couldn't, and I just sit here, letting it finish my sentences for me.","Let the breath show between phrases, like the words are costing you something to say."
Gravelly Rock Troll,creature,masculine,ageless,"menacing, dramatic, intense","gravelly, gritty, rough",slow,Rock troll,"A hulking, moss-crusted face of cracked granite plates, a heavy brow like a cliff overhang, lichen growing in the seams of his shoulders.","""Cross bridge, troll crush. Simple rule. Little goat learn hard way, little goat learn quick way — troll no care which. Rocks remember every footstep; troll remember longer.""","You. Small thing. Move, or I move you — makes no difference to the mountain either way.","Grind each word out slow and low, like stone scraping against stone."
Booming War-Giant,creature,masculine,adult,"epic, heroic, intense","booming, deep, resonant",measured,Giant,"A mountain given a face — bronze pauldrons the size of cart wheels at each shoulder, a braided iron-grey beard, eyes like watch-fires under a scarred brow.","""Sound the horn! Let the valley itself hear us coming! No wall built by small hands has ever held against a giant's stride!""","SOUND THE HORN. Let them hear it in the valley below, and let them know exactly what's coming.",Let the low end fill the whole room before the next word arrives.
Chipper Garden Fairy,creature,feminine,ageless,"cheerful, playful, upbeat","high-pitched, bright, light",fast,Fairy,"Dragonfly wings dusted with pollen rising behind her shoulders, a dandelion-fluff halo of hair, a bright darting gaze that never quite settles.","""Ooh, pick that one, pick that one, the pink petal, quick quick quick! We'll thread it with dewdrops and it'll sparkle for simply ages!""","Ooh, ooh, follow me, follow me — the dew's just settled and the whole garden's sparkling, come see, come see!","Let the pitch flit upward at the end of every little phrase, like you're hovering, never landing."
Weary Undead Drone,creature,masculine,ageless,"somber, menacing, deadpan","raspy, husky, thin",slow,Zombie / undead,"Grey, sunken cheeks, tattered burial cloth hanging loose at the collar of a frame gone gaunt, eyes that focus a half-beat behind where they're looking.","""Hungry. Always hungry. Was a name once, before the dirt. Walk. Walk. Walk. Forgot what for.""",Another day. Another shuffle to nowhere in particular. At least the sun stopped bothering me a century ago.,Let each word drop out of you like it costs the last of your air.
Voice of the Void,deity,not-applicable,ageless,"epic, mysterious, authoritative","deep, booming, resonant",slow,Cosmic narrator-god,"A face assembled from drifting starlight and shadow, no fixed form, words seeming to arrive from every direction of a vast dark room at once.","""Before light, there was only the question of light. Before time, there was only the patience to wait for it. You are here because I allowed a single second to pass.""","You call it darkness because you have no other word for what was here before the light arrived, uninvited.","Let silence stretch before each sentence, as if the words have existed longer than you have."
Radiant Guardian Angel,deity,feminine,ageless,"warm, gentle, wise","clear, bright, smooth",measured,Angel,"Wings folded like tempered glass catching the light, robes that seem lit from within, a stillness that makes the air around her feel safer.","""You are not alone here, and you never were. Set down what you've been carrying — I have you now. Rest; I will keep watch until the light returns.""","You are not alone in this, and you never were. Rest now — I have you.",Let the warmth ring through the clear tone like sun through stained glass.
Mischievous Forest Gnome,creature,masculine,ageless,"playful, quirky, friendly","nasal, high-pitched, crisp",brisk,Gnome,"A pointed red cap askew over bushy eyebrows, a beard full of twigs and stolen trinkets, a grin already halfway to mischief.","""Psst! Over here, over here, behind the toadstool! I've got a shortcut, a proper shortcut, quicker than the crow and twice as clever!""","Oho, lost your way, did you? Lucky for you I know every root and hollow in this wood — for a small toll, of course.","Keep the nasal buzz bright and quick, like you're always halfway to a joke."
Sly Goblin Scavenger,creature,masculine,ageless,"sarcastic, quirky, sinister","raspy, nasal, gritty",brisk,Goblin,"Wiry and hunch-shouldered, a patchwork leather collar scavenged from a dozen owners, ears too big for his skull and a grin with several teeth missing.","""Ooh, shiny. Mine now, obviously. Finders keepers, losers cry about it later — that's the rule, I just made it up, but it's still the rule.""","Shiny thing. Yours? Not anymore — finders keepers, that's the rule, I just made it up, works great.","Snap the consonants sharp and greedy, like you're already reaching for the next thing."
Sturdy Mountain Dwarf,creature,masculine,adult,"serious, warm, authoritative","low, gravelly, booming",measured,Dwarf,"A broad, weathered face above a braided beard clasped in iron rings, brows like ledges of granite, the settled steadiness of someone the mountain itself agreed to hold up.","""This tunnel was carved by my grandfather's grandfather, and it will outlast every one of us standing here. Respect the stone, and the stone respects you back. Now — who's thirsty?""","Built this hall with my own two hands, stone by stone, and it'll still be standing long after the rest of you.","Let the low register settle like weight, unhurried and immovable."
Cackling Swamp Witch,creature,feminine,senior,"sinister, playful, menacing","raspy, husky, nasal",variable,Witch / crone,"Warts and all under a tattered pointed hood, a shawl of dried herbs and small bones at her shoulders, eyes glinting green in cauldron-light, a grin curled like a withered root.","""Ehehe, come closer dearie, closer still — the potion needs just one more little thing. A pinch of newt, a drop of spite, and oh, your voice would do nicely.""","Ehehe, come closer dearie, the cauldron's just about ready, and I do so love a fresh ingredient.","Let the pace lurch unpredictably, cackling faster then slowing to a wicked drawl."
Seductive Siren,creature,feminine,ageless,"sensual, mysterious, calm","silky, velvety, breathy",slow,Siren,"Scales shimmering faintly at the hairline, hair perpetually damp as if just risen from black water, a stillness that draws the eye before the voice even starts.","""Closer now. The water's warmer than it looks, I promise you that much. Just a few more steps... you won't need to swim back.""","Come closer to the water's edge. I promise, the song is even sweeter once you're in.",Let every word pull the listener forward like a slow undertow.
Whispering Ghost,creature,ambiguous,ageless,"mysterious, melancholic, somber","breathy, thin, soft",slow,Ghost,"Translucent at the edges, a Victorian collar frayed to lace, pale eyes fixed on a doorway only she remembers.","""I left the candle burning for him. Thirty years, and it's still burning. Can you feel how cold this room gets, or is it only me who remembers?""","You left the door open again. I do wish you wouldn't — it lets the cold in, and I do so hate the cold.","Let the breath outweigh the voice, like the words are barely holding together."
Ancient Dragon Overlord,creature,masculine,ageless,"epic, menacing, authoritative","booming, deep, resonant",slow,Dragon,"Scales like tarnished bronze plate armor, a jaw that could swallow a wagon whole, smoke curling lazily from nostrils that haven't needed to hurry in a thousand years.","""Kingdoms rise, kingdoms fall, and still I am here, patient as the mountain beneath me. Bring me gold, or bring me nothing — either way, I will still be waiting when you're gone.""","You come into MY mountain, uninvited, and expect to leave with your life? How refreshingly optimistic.","Let each syllable rumble with contained heat, like restraint is the scariest part."
Silken-Tongued Demon,creature,masculine,ageless,"sinister, sensual, villainous","smooth, velvety, low",measured,Demon,"Impeccably tailored in charcoal and crimson, horns filed to a polite point, a smile that's somehow already a signature.","""Oh, don't sign in such a hurry — savor it. Everything you want is right here on this one line, and everything you owe is just... details. Shall we?""","Now, now — no need to sign anything just yet. Let's just talk, shall we? I think you'll find the terms... generous.","Let charm slide over every syllable, so the danger only shows in retrospect."
Giggling Pixie Sprite,creature,feminine,ageless,"playful, cheerful, quirky","high-pitched, light, bright",fast,Pixie / sprite,"Wings like stained-glass fragments framing a thumb-sized impish face, hair that changes color when she's excited — which is constantly.","""Tickle tickle tickle, catch me if you can, you can't, you can't, nobody ever can! Ooh, shiny button, is that for me? It's for me now!""","Hehe, catch me if you can — oh, oh, you almost got me, do it again, do it again!","Let the giggle bubble up mid-word, never quite finishing a sentence in a straight line."
Grinding Stone Golem,creature,not-applicable,ageless,"serious, intense, deadpan","booming, rough, distorted",slow,Golem,"Hewn from raw quarry stone bound with glowing rune-seams, expressionless carved features, rune-light flickering deep in the eye sockets, dust drifting from the seams of its jaw.","""Command. Received. Protect the gate. Protect the gate. Enemy detected — enemy... will be... removed.""","Command. Received. Proceeding — as instructed, until instructed otherwise.","Let each word land with a full stop, like gears clicking into place one at a time."
Wailing Banshee,creature,feminine,ageless,"dramatic, menacing, melancholic","raspy, husky, distorted",variable,Banshee,"A grey shroud drawn up over wild hair whipped by a wind only she feels, a mouth that opens wider than a face should allow.","""Someone in this house will not see morning. I have already begun to grieve them. Can you hear it, the sound that means it's you?""","They will hear me before they see me, and by then, it is already far too late for them.","Let the volume swell suddenly then collapse to a whisper, like grief you can't control."
Elder Elf Sage,creature,neutral,ageless,"wise, calm, mysterious","clear, resonant, smooth",measured,Elf,"Silver hair braided with living vines, ears tapering to fine points, eyes that seem to focus on something centuries away.","""The trees remember the war you've only read about. Sit, and I will tell you what the roots told me. It will take longer than you expect — truth usually does.""","I have watched empires rise and forget themselves within a single one of your lifetimes. Patience, child. Patience.","Let the clarity ring like a struck bell, unhurried and precise."
Cold Precision AI Assistant,synthetic,not-applicable,ageless,"professional, calm, deadpan","robotic, clear, crisp",moderate,Robot / AI assistant,"A faint blue interface glow with no fixed body, waveform pulses syncing to each syllable, every surface polished to a sterile, functional shine.","""Task received. Processing input across three parameters. Confidence level: ninety-eight percent. Awaiting your next command.""",Query received. Processing. All parameters within expected range — proceeding as configured.,"Keep the rhythm perfectly even, with no rise or fall between words."
Glitching Service Android,synthetic,not-applicable,ageless,"deadpan, quirky, professional","robotic, distorted, clear",variable,Android / robot,"Chassis paneling scuffed from years of service, a flickering eye-light that stutters mid-sentence, neck servos that whir audibly when it turns its head.","""Wel-welcome to- to Sector Seven. Your order is- is ready. Please- disregard the previous- the previous forty error messages.""",Systems nomin— nominal. Apologies. Re-routing around the — the fault. Continuing.,"Let the pace stutter unevenly, snapping back to normal speed mid-phrase like a signal correcting itself."
Impish Court Jester,character,masculine,adult,"playful, sarcastic, quirky","nasal, crisp, light",variable,Jester,"Motley in three clashing colors, bells stitched into the points of his cap, a painted grin that doesn't always match what's underneath it.","""Oh, your majesty wants the truth? How delightfully expensive of you. Very well: the duke is a fool, the treasury is empty, and your crown is on backwards. You're welcome!""","Oh, did I say something wrong? Terribly sorry, Your Majesty — shall I say it again, only louder this time?","Bounce the pace unpredictably, like every sentence is secretly a punchline setup."
Clockwork Puppet,character,not-applicable,ageless,"quirky, cheerful, deadpan","thin, clear, light",brisk,Clockwork puppet / marionette,"Painted porcelain features fixed in a permanent smile, the tip of a brass wind-up key just visible over one shoulder, hairline porcelain joints that click audibly at each tilt of the head.","""Wind me up, wind me up, and I'll dance until you stop! Tick tock, tick tock, that's the only song I know! Again? Again? Again!""","Wound. Ready. Waiting for the hand that turns the key — as I always am, and always will be.","Keep the rhythm metronome-steady, like the words themselves are wound by a key."
Brutish Ogre Enforcer,creature,masculine,adult,"intense, menacing, serious","gravelly, rough, booming",slow,Ogre,"A slab-jawed, lopsided face, tusks jutting from an underbite, a heavy scarred brow and small eyes that have already run out of patience.","""Boss say pay up. You no pay up, boss say I get creative. Ogre very creative. Ogre also very impatient.""","Boss says you owe. I don't care how, I don't care when — I just care that you do.","Let the words come slow and heavy, like thinking itself takes physical effort."
